2025-10-14 15:36:05 | ERROR    | __main__:parse_energa_datetime_interval:152 - Failed to parse interval '14.10.2025 08:00–09:3015.10.2025 12:30–14:00'
2025-10-14 15:36:05 | ERROR    | __main__:parse_energa_datetime_interval:152 - Failed to parse interval '13.10.2025 08:00–09:0016.10.2025 08:00–09:0009:00–15:0015:00–16:00'
2025-10-14 17:47:57 | ERROR    | __main__:parse_energa_locations:55 - Failed to parse locations: Borczaki , 67/5, Kożyczkowo 49, 50, 52, 53, 53 A, 53 b, 54, 55, 67/4 (MDZ).
2025-10-14 17:47:57 | ERROR    | __main__:parse_energa_locations:55 - Failed to parse locations: Płęsy 9, 104/7, 109/1, 89/12, 89/15, 89/17, 89/8, 92/2.
2025-10-14 17:47:57 | ERROR    | __main__:parse_energa_locations:55 - Failed to parse locations: Juszki 12, 13, 31, 32, 320, 351, 442, Juszki-350,349, 348.
2025-10-14 17:47:57 | ERROR    | __main__:parse_energa_locations:55 - Failed to parse locations: Nowa Kiszewa-Chrósty 14, Nowy Bukowiec 16, 180/6.
2025-10-14 17:47:57 | ERROR    | __main__:parse_energa_locations:55 - Failed to parse locations: Chwaszczyno , 766/3.
2025-10-14 17:47:57 | ERROR    | __main__:parse_energa_locations:55 - Failed to parse locations: Cieciorka , 233/4, 250/61, 49, Dunajki 2, 2/A, 2/B, 2D, 2H, 3, 3/A, 4, 6, 12, 13, 16, 17, od 25 do 27, 29, 30, 34, 35, 230/14, 230/19 (GPO) (MDZ), 233/6, 236/3, 239/6, 25, 250/11, 250/45, 250/5, 250/52, 250/41, 232, 230/6, 250/56, 250/57, Okoninki od 1 do 7, 7/A, od 8 do 11, 14, 15, 17, 35/1, 35/18, 35/19, 35/22, 35/23, 35/25, 35/8, 43/7, 51/2, Okoniny 1, Płociczno 1, 2, 2A, od 3 do 5, 5/B, od 6 do 12, 12/A, 12A, od 14 do 17, 17/A, 17a, 18, od 21 do 24, 26, 27, 29A, 30, 32, 33, 33C, 35, 38, 42, 53, 130/1, 144/1, 188/4, 189, 421, 437/16 (MDZ), 61/2 (MDZ), Cieciorka-131/5 (GPO) (MDZ), Cieciorka-150/1, Płociczno-437/6 (MDZ).
2025-10-14 17:47:57 | ERROR    | __main__:parse_energa_locations:55 - Failed to parse locations: Garczyn , 230.
2025-10-14 17:47:57 | ERROR    | __main__:parse_energa_locations:55 - Failed to parse locations: Głuche 1, 1a, 1c, 2, 3, 3/A, od 4 do 8, 10, 10/F, od 11 do 14, 14a, 15, 15A, 16, 16/B, 16A, 16C, 17, 17/4, 20, 20/C, 20/D, 21, od 23 do 27, 27A, 28, 29, od 31 do 33, 105/4, 144/3, 71, Karszanek 24, 25, 27, 35, 35/B, 35/C, 36, 37/A, 37b, 38, 38/A, 39, 40, 42, 168/4, 182/9, 337/17, Skórzenno 30, 30/A, 30/B, 30E, od 31 do 33, 78/11, Wierzbiny 1, 1A, od 2 do 4, 4a, 5, 5/A, 5/B, 5/C, 6, 6/A, 7, 8, 8/C, 8e, od 13 do 19, 336 (MDZ), 337/1, 337/14, 340.
2025-10-14 17:47:57 | ERROR    | __main__:parse_energa_locations:55 - Failed to parse locations: Dziewięć Włók 18, 23A, 27, 27/A, 27/E, 27F, 115/3.
